Focalspecies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adleri,formosus,grammicus,horridus,mucronatus,scitulus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internasalis,taeniocnemis,serrifer,carinatus,squamosus,smaragdinus,teapensis,melanorhinus,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalapae,formosus,scalaris,serrifer,subpictus,grammicus,gadoviae,horridus,spinosus,microlepidotus,pictus,mucronatus,megalepidurus,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarrovii,clarkii,cowlesi,bulleri,magister,scalaris,consobrinus,ornatus,grammicus,nelsoni,horridus,slevini,torquatus,microlepidotus,maculosus,poinsettii,virgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licki,magister,zosteromus,hunsakeri,orcutti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maculosus,magister,consobrinus,ornatus,grammicus,jarrovii,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magister,occidentalis,nelsoni,cowlesi,merriami,olivaceus,zosteromus,poinsettii,clarkii,licki,consobrinus,grammicus,tristichus,graciosus,vanderburgianus,parvus,horridus,slevini,jarrovii,maculosus,hunsakeri,orcutti,,,,,,,,,,,,,,,,,,,,,,,
malachiticus,squamosus,variabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megalepidurus,formosus,scalaris,serrifer,bicanthalis,subpictus,grammicus,jalapae,gadoviae,parvus,horridus,torquatus,spinosus,microlepidotus,pictus,mucronatus,variabilis,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,
melanorhinus,teapensis,nelsoni,smithi,serrifer,bulleri,aeneus,gadoviae,torquatus,spinosus,microlepidotus,scitulus,variabilis,palaciosi,clarkii,formosus,ochoterenae,carinatus,edwardtaylori,grammicus,siniferus,taeniocnemis,scalaris,pyrocephalus,horridus,mucronatus,internasalis,,,,,,,,,,,,,,,,,,
merriami,cowlesi,magister,couchii,consobrinus,ornatus,grammicus,parvus,olivaceus,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microlepidotus,jalapae,melanorhinus,smithi,cautus,serrifer,bulleri,couchii,dugesii,aeneus,heterolepis,gadoviae,torquatus,spinosus,olivaceus,cyanogenys,poinsettii,variabilis,palaciosi,ochoterenae,formosus,bicanthalis,insignis,edwardtaylori,consobrinus,minor,grammicus,scalaris,cryptus,pyrocephalus,parvus,horridus,jarrovii,pictus,mucronatus,megalepidurus,siniferus,,,,,,,,
minor,scalaris,serrifer,couchii,consobrinus,ornatus,grammicus,poinsettii,parvus,torquatus,spinosus,microlepidotus,olivaceus,mucronatus,cyanogenys,variabilis,cautus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucronatus,jalapae,melanorhinus,serrifer,aeneus,gadoviae,torquatus,spinosus,microlepidotus,scitulus,variabilis,palaciosi,ochoterenae,formosus,bicanthalis,minor,subpictus,grammicus,adleri,scalaris,cryptus,pyrocephalus,parvus,horridus,pictus,megalepidurus,siniferus,,,,,,,,,,,,,,,,,,
nelsoni,clarkii,scalaris,magister,bulleri,dugesii,consobrinus,horridus,torquatus,spinosus,jarrovii,melanorhinus,virgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occidentalis,magister,vanderburgianus,zosteromus,graciosus,orcutti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ochoterenae,formosus,scalaris,pyrocephalus,aeneus,grammicus,siniferus,gadoviae,variabilis,horridus,mucronatus,spinosus,microlepidotus,torquatus,melanorhinus,scitulus,palaciosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivaceus,cowlesi,magister,scalaris,couchii,serrifer,consobrinus,minor,grammicus,ornatus,poinsettii,parvus,merriami,spinosus,microlepidotus,torquatus,cyanogenys,variabilis,cautus,,,,,,,,,,,,,,,,,,,,,,,,,,
orcutti,licki,magister,vanderburgianus,grandaevus,occidentalis,zosteromus,graciosus,hunsakeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ornatus,cowlesi,scalaris,serrifer,couchii,consobrinus,minor,grammicus,poinsettii,parvus,merriami,spinosus,jarrovii,olivaceus,maculosus,cyanogenys,cautus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palaciosi,ochoterenae,scalaris,bicanthalis,aeneus,grammicus,horridus,torquatus,spinosus,microlepidotus,mucronatus,melanorhinus,variabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
