Binomial,Chromosome_num,species_group,chromosome_group,not_in_Leache_et_al_2016,why_not,insular_endemic,Max_SVL,Size_guild,chromosomally_diverse_clade,in_Rivera_et_al,in_GARD
Sceloporus olivaceus,22,undulatus,form-spin-und,,,F,124,large,TRUE,TRUE,TRUE
Sceloporus omiltemanus,,pointsettii,torquatus,x,?ssp of mucronatus,F,102,large,TRUE,FALSE,TRUE
Sceloporus orcutti,34,magister,mag-34,,,F,117,large,TRUE,TRUE,TRUE
Sceloporus ornatus,32,poinsettii,torquatus,,,F,98,medium,TRUE,TRUE,TRUE
Sceloporus palaciosi,34,grammicus,grammicus-P1-HS,,,F,68,small,TRUE,FALSE,TRUE
Sceloporus parvus,34,variabilis,basal,,,F,51,small,FALSE,TRUE,TRUE
Sceloporus poinsettii,32,poinsettii,torquatus,,,F,137,large,TRUE,TRUE,TRUE
Sceloporus pyrocephalus,34,pyrocephalus,basal,,,F,75,medium,FALSE,TRUE,TRUE
Sceloporus salvini,,formosus,form-spin-und,not sampled,,F,100,medium,TRUE,FALSE,TRUE
Sceloporus samcolemani,24,scalaris,scalaris,,,F,61,small,TRUE,FALSE,TRUE
Sceloporus scalaris,24,scalaris,scalaris,,,F,78,medium,TRUE,TRUE,TRUE
Sceloporus serrifer,32,poinsettii,torquatus,,,F,113,large,TRUE,TRUE,TRUE
Sceloporus shannonorum,31,grammicus,grammicus,,,F,78,medium,TRUE,FALSE,TRUE
Sceloporus siniferus,34,angustus,basal,,,F,71.2,small,FALSE,TRUE,TRUE
Sceloporus slevini,24,scalaris,scalaris,,,F,70,small,TRUE,TRUE,TRUE
Sceloporus smaragdinus,22,formosus,form-spin-und,,,F,86,medium,TRUE,TRUE,TRUE
Sceloporus smithi,34,variabilis,basal,,,F,71,small,FALSE,TRUE,TRUE
Sceloporus spinosus,22,spinosus,form-spin-und,,,F,126,large,TRUE,TRUE,TRUE
Sceloporus squamosus,34,angustus,basal,,,F,59,small,FALSE,TRUE,TRUE
Sceloporus stejnegeri,22,formosus,form-spin-und,,,F,94,medium,TRUE,FALSE,TRUE
Sceloporus subpictus,22,formosus,form-spin-und,,,F,69,small,TRUE,TRUE,TRUE
Sceloporus sugillatus,,pointsettii,torquatus,not sampled,,F,87,medium,TRUE,FALSE,TRUE
Sceloporus subniger,24,,scalaris,,,,,,TRUE,FALSE,FALSE
Sceloporus taeniocnemis,22,formosus,form-spin-und,,,F,82,medium,TRUE,TRUE,TRUE
Sceloporus tanneri,,formosus,form-spin-und,not sampled,,F,86,medium,TRUE,FALSE,TRUE
Sceloporus teapensis,34,variabilis,basal,,,F,70,small,FALSE,TRUE,TRUE
Sceloporus torquatus,32,torquatus,torquatus,,,F,141,large,TRUE,TRUE,TRUE
Sceloporus tristichus,22,undulatus,form-spin-und,,,F,95.2,medium,TRUE,TRUE,TRUE
Sceloporus undulatus,22,undulatus,form-spin-und,,,F,91,medium,TRUE,TRUE,TRUE
Sceloporus uniformis,26,magister,mag-26,,,F,140,large,TRUE,FALSE,TRUE
Sceloporus unicanthalis,,,,,,,,,FALSE,FALSE,FALSE
Sceloporus utiformis,34,utiformis,basal,not sampled,,F,84,medium,FALSE,FALSE,TRUE
Sceloporus variabilis,34,variabilis,basal,,,F,77,medium,FALSE,FALSE,TRUE
Sceloporus virgatus,22,undulatus,form-spin-und,,,F,71,small,TRUE,TRUE,TRUE
Sceloporus woodi,22,undulatus,form-spin-und,,,F,65,small,TRUE,TRUE,TRUE
Sceloporus zosteromus,30,magister,mag-30,,,F,131,large,TRUE,TRUE,TRUE
